category_id,comment_count,comments_disabled,days_since_publication,has_description,is_successful,is_sucessfull,likes_ratio,progress,publish_time,ratings_disabled,tags_quantity,title_size,video_error_or_removed
4,649,False,6,True,False,,0.9660657476139979,13191,2018-01-26,False,28,57,False
4,831,False,1,True,False,,0.9640933572710951,364182,2018-03-18,False,11,69,False
4,1355,False,8,True,False,,0.9145146379044684,18295,2018-04-08,False,11,33,False
2,741,False,8,True,False,,0.9794866046407353,40571,2017-12-29,False,4,63,False
2,28003,False,28,True,False,,0.9917991948662761,21087,2018-05-14,False,5,26,False
2,1249,False,12,True,True,,0.894639795555268,48403,2017-12-23,False,29,60,False
4,3054,False,4,True,False,,0.8168111571805503,29181,2018-01-02,False,30,54,False
2,6,False,6,True,False,,0.9333333333333333,186,2017-12-04,False,11,27,False
1,401,False,6,True,False,,0.9908102714908366,51318,2018-01-31,False,3,48,False
2,1799,False,12,True,False,,0.9396575436666208,76707,2017-12-22,False,3,27,False
0,651,False,7,True,False,,0.9804478082623778,5269,2017-11-28,False,24,67,False
4,710,False,5,True,False,,0.9951071761416589,3087,2017-12-13,False,24,51,False
2,4,False,1097,False,False,,1.0,181,2015-01-08,False,1,21,False
4,32,False,3,True,False,,0.9627329192546584,4156,2017-12-08,False,17,77,False
2,8508,False,6,True,False,,0.9918967741935484,78389,2018-01-23,False,29,28,False
2,370,False,5,True,False,,0.5866569978245105,21712,2017-12-18,False,31,58,False
2,6284,False,12,True,True,,0.9132622331908392,230802,2018-05-19,False,23,33,False
2,13841,False,18,True,True,,0.941094247784471,498793,2018-04-04,False,9,36,False
0,28740,False,25,True,True,,0.9880901969087444,622963,2018-04-19,False,24,29,False
4,2161,False,4,True,False,,0.9581369559190464,65369,2018-03-21,False,21,84,False
2,1290,False,3,True,True,,0.9747796181365379,535311,2018-05-01,False,40,32,False
2,504,False,7,True,False,,0.987066164045236,99998,2017-12-08,False,21,49,False
1,833,False,12,True,False,,0.9589007978080426,15977,2017-12-22,False,13,42,False
2,275,False,5,True,False,,0.6369047619047619,10597,2017-12-18,False,1,65,False
2,1064,False,6,True,False,,0.8186537773003938,91160,2018-01-06,False,36,81,False
2,10668,False,4,True,True,,0.9233447954307029,1462224,2017-12-04,False,22,60,False
2,375,False,6,True,False,,0.9641966512290702,68834,2018-01-22,False,1,60,False
2,5366,False,5,True,False,,0.9803307252835626,124890,2018-01-04,False,32,49,False
3,1076,False,5,True,False,,0.8884910485933504,34808,2018-01-11,False,35,88,False
4,1238,False,3,True,False,,0.9341397849462365,61056,2018-03-08,False,21,89,False
4,486,False,11,True,False,,0.9762386787426744,31174,2018-03-11,False,8,91,False
4,3427,False,15,True,False,,0.9537611367993685,42337,2018-02-28,False,20,75,False
3,1569,False,7,True,False,,0.7597911227154047,3652,2018-02-21,False,30,66,False
2,6759,False,7,True,False,,0.22987723548466124,149727,2018-01-18,False,39,77,False
4,1164,False,7,True,False,,0.9929005475001504,33106,2017-11-30,False,4,43,False
0,18,False,10,True,False,,0.8997722095671982,22912,2018-04-26,False,33,73,False
4,357,False,5,True,False,,0.9872773536895675,13973,2018-01-28,False,56,48,False
2,374,False,11,True,False,,0.7574872169466764,6787,2018-04-26,False,21,85,False
4,103300,False,7,True,False,,0.9755574020218806,56555,2017-12-06,False,30,32,False
4,5715,False,14,True,False,,0.850988326848249,106392,2018-03-18,False,26,52,False
2,508,False,1,True,False,,0.9552087848576796,575274,2017-12-12,False,30,63,False
2,13636,False,4,True,True,,0.9766967259598872,485829,2017-12-01,False,9,52,False
2,2521,False,19,True,False,,0.9761114936053911,23532,2018-03-26,False,25,82,False
2,3014,False,17,True,False,,0.9353537981269511,21061,2018-05-05,False,20,55,False
0,6802,False,7,True,True,,0.9498790105753719,205957,2017-11-21,False,10,50,False
4,2654,False,7,True,False,,0.9686743556884523,20313,2017-12-27,False,42,96,False
3,1015,False,1,True,False,,0.9845303867403314,156669,2018-01-08,False,32,43,False
1,5607,False,29,True,True,,0.9798194437459136,109744,2018-05-10,False,13,22,False
2,0,False,10,True,False,,1.0,130,2017-12-21,False,5,42,False
3,1215,False,6,True,False,,0.8093622795115333,7836,2017-12-11,False,34,63,False
2,8085,False,18,True,False,,0.9094534871186806,67998,2018-04-13,False,17,58,False
2,1425,False,1,True,False,,0.966522418559923,1912737,2018-04-30,False,43,60,False
2,63,False,4,True,False,,0.828125,31005,2018-02-01,False,23,7,False
2,7885,False,6,True,False,,0.9867722236588228,52153,2018-01-08,False,18,38,False
1,11510,False,9,True,True,,0.9736715937256889,498753,2018-05-30,False,37,70,False
2,4830,False,9,True,False,,0.919103313840156,142554,2018-03-07,False,34,65,False
4,539,False,3,True,False,,0.9754366812227074,103725,2018-03-08,False,10,36,False
3,0,False,5,True,False,,0.8636363636363636,135,2017-11-26,False,5,42,False
